"PG.Genes","PG.ProteinAccessions","PG.ProteinDescriptions","PG.ProteinNames"
"NAGLU","P54802","Alpha-N-acetylglucosaminidase","ANAG_HUMAN"
"GAS1","P54826","Growth arrest-specific protein 1","GAS1_HUMAN"
"ALDH18A1","P54886","Delta-1-pyrroline-5-carboxylate synthase","P5CS_HUMAN"
"NAPA","P54920","Alpha-soluble NSF attachment protein","SNAA_HUMAN"
"EIF5","P55010","Eukaryotic translation initiation factor 5","IF5_HUMAN"
"SLC12A2","P55011","Solute carrier family 12 member 2","S12A2_HUMAN"
"PSMD4","P55036","26S proteasome non-ATPase regulatory subunit 4","PSMD4_HUMAN"
"DRG2","P55039","Developmentally-regulated GTP-binding protein 2","DRG2_HUMAN"
"NR1H2","P55055","Oxysterols receptor LXR-beta","NR1H2_HUMAN"
"PLTP","P55058","Phospholipid transfer protein","PLTP_HUMAN"
"CSE1L","P55060","Exportin-2","XPO2_HUMAN"
"VCP","P55072","Transitional endoplasmic reticulum ATPase","TERA_HUMAN"
"MFAP1","P55081","Microfibrillar-associated protein 1","MFAP1_HUMAN"
"HADHB","P55084","Trifunctional enzyme subunit beta, mitochondrial","ECHB_HUMAN"
"MANF","P55145","Mesencephalic astrocyte-derived neurotrophic factor","MANF_HUMAN"
"MLLT6","P55198","Protein AF-17","AF17_HUMAN"
"ELL","P55199","RNA polymerase II elongation factor ELL","ELL_HUMAN"
"CASP7","P55210","Caspase-7","CASP7_HUMAN"
"CASP9","P55211","Caspase-9","CASP9_HUMAN"
"CASP6","P55212","Caspase-6","CASP6_HUMAN"
"ADK","P55263","Adenosine kinase","ADK_HUMAN"
"ADAR","P55265","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN"
"TPD52","P55327","Tumor protein D52","TPD52_HUMAN"
"PKNOX1","P55347","Homeobox protein PKNOX1","PKNX1_HUMAN"
"SEC13","P55735","Protein SEC13 homolog","SEC13_HUMAN"
"SNU13","P55769","NHP2-like protein 1","NH2L1_HUMAN"
"GFER","P55789","FAD-linked sulfhydryl oxidase ALR","ALR_HUMAN"
"HNRNPH2","P55795","Heterogeneous nuclear ribonucleoprotein H2","HNRH2_HUMAN"
"OXCT1","P55809","Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial","SCOT1_HUMAN"
"EIF3B","P55884","Eukaryotic translation initiation factor 3 subunit B","EIF3B_HUMAN"
"BID","P55957","BH3-interacting domain death agonist","BID_HUMAN"
"ATP5MF","P56134","ATP synthase subunit f, mitochondrial","ATPK_HUMAN"
"NDUFV3","P56181","NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial","NDUV3_HUMAN"
"RRP1","P56182","Ribosomal RNA processing protein 1 homolog A","RRP1_HUMAN"
"MARS1","P56192","Methionine--tRNA ligase, cytoplasmic","SYMC_HUMAN"
"ITGA1","P56199","Integrin alpha-1","ITA1_HUMAN"
"MAZ","P56270","Myc-associated zinc finger protein","MAZ_HUMAN"
"CMC4","P56277","Cx9C motif-containing protein 4","CMC4_HUMAN"
"POLE2","P56282","DNA polymerase epsilon subunit 2","DPOE2_HUMAN"
"AP1S2","P56377","AP-1 complex subunit sigma-2","AP1S2_HUMAN"
"ATP5MJ","P56378","ATP synthase subunit ATP5MJ, mitochondrial","ATP68_HUMAN"
"ATP5F1E;ATP5F1EP2","P56381;Q5VTU8","ATP synthase subunit epsilon, mitochondrial;ATP synthase subunit epsilon-like protein, mitochondrial","ATP5E_HUMAN;AT5EL_HUMAN"
"ATP5ME","P56385","ATP synthase subunit e, mitochondrial","ATP5I_HUMAN"
"EIF6","P56537","Eukaryotic translation initiation factor 6","IF6_HUMAN"
"CTBP2","P56545","C-terminal-binding protein 2","CTBP2_HUMAN"
"PEX3","P56589","Peroxisomal biogenesis factor 3","PEX3_HUMAN"
"CLDN12","P56749","Claudin-12","CLD12_HUMAN"
"HSD17B7","P56937","3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7","DHB7_HUMAN"
"BCAR1","P56945","Breast cancer anti-estrogen resistance protein 1","BCAR1_HUMAN"
"STX17","P56962","Syntaxin-17","STX17_HUMAN"
"RWDD2B","P57060","RWD domain-containing protein 2B","RWD2B_HUMAN"
"CFAP298","P57076","Cilia- and flagella-associated protein 298","CF298_HUMAN"
"WDR4","P57081","tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4","WDR4_HUMAN"
"SCAND1","P57086","SCAN domain-containing protein 1","SCND1_HUMAN"
"TMEM33","P57088","Transmembrane protein 33","TMM33_HUMAN"
"SYNJ2BP","P57105","Synaptojanin-2-binding protein","SYJ2B_HUMAN"
"KLF3","P57682","Krueppel-like factor 3","KLF3_HUMAN"
"NUP107","P57740","Nuclear pore complex protein Nup107","NU107_HUMAN"
"EEFSEC","P57772","Selenocysteine-specific elongation factor","SELB_HUMAN"
"SESN2","P58004","Sestrin-2","SESN2_HUMAN"
"FOXL2","P58012","Forkhead box protein L2","FOXL2_HUMAN"
"EPPK1","P58107","Epiplakin","EPIPL_HUMAN"
"ZNF121","P58317","Zinc finger protein 121","ZN121_HUMAN"
"MTPN","P58546","Myotrophin","MTPN_HUMAN"
"YBEY","P58557","Endoribonuclease YbeY","YBEY_HUMAN"
"SEC61G","P60059","Protein transport protein Sec61 subunit gamma","SC61G_HUMAN"
"TPI1","P60174","Triosephosphate isomerase","TPIS_HUMAN"
"EIF3E","P60228","Eukaryotic translation initiation factor 3 subunit E","EIF3E_HUMAN"
"SEC61B","P60468","Protein transport protein Sec61 subunit beta","SC61B_HUMAN"
"PPP4C","P60510","Serine/threonine-protein phosphatase 4 catalytic subunit","PP4C_HUMAN"
"GABARAPL2","P60520","Gamma-aminobutyric acid receptor-associated protein-like 2","GBRL2_HUMAN"
"ROMO1","P60602","Reactive oxygen species modulator 1","ROMO1_HUMAN"
"UBE2G2","P60604","Ubiquitin-conjugating enzyme E2 G2","UB2G2_HUMAN"
"ACTB","P60709","Actin, cytoplasmic 1","ACTB_HUMAN"
"EIF4A1","P60842","Eukaryotic initiation factor 4A-I","IF4A1_HUMAN"
"PRPS1","P60891","Ribose-phosphate pyrophosphokinase 1","PRPS1_HUMAN"
"S100A10","P60903","Protein S100-A10","S10AA_HUMAN"
"CDC42","P60953","Cell division control protein 42 homolog","CDC42_HUMAN"
"DSTN","P60981","Destrin","DEST_HUMAN"
"GMFB","P60983","Glia maturation factor beta","GMFB_HUMAN"
"RAB8A","P61006","Ras-related protein Rab-8A","RAB8A_HUMAN"
"SPCS3","P61009","Signal peptidase complex subunit 3","SPCS3_HUMAN"
"SRP54","P61011","Signal recognition particle 54 kDa protein","SRP54_HUMAN"
"RAB4B","P61018","Ras-related protein Rab-4B","RAB4B_HUMAN"
"RAB2A","P61019","Ras-related protein Rab-2A","RAB2A_HUMAN"
"RAB5B","P61020","Ras-related protein Rab-5B","RAB5B_HUMAN"
"CKS1B","P61024;Q5T179","Cyclin-dependent kinases regulatory subunit 1;Cyclin-dependent kinases regulatory subunit","CKS1_HUMAN;Q5T179_HUMAN"
"RAB10","P61026","Ras-related protein Rab-10","RAB10_HUMAN"
"UBE2M","P61081","NEDD8-conjugating enzyme Ubc12","UBC12_HUMAN"
"UBE2K","P61086","Ubiquitin-conjugating enzyme E2 K","UBE2K_HUMAN"
"UBE2N","P61088","Ubiquitin-conjugating enzyme E2 N","UBE2N_HUMAN"
"RAB14","P61106","Ras-related protein Rab-14","RAB14_HUMAN"
"ZC3H6","P61129","Zinc finger CCCH domain-containing protein 6","ZC3H6_HUMAN"
"ACTR3","P61158","Actin-related protein 3","ARP3_HUMAN"
"ACTR2","P61160","Actin-related protein 2","ARP2_HUMAN"
"ACTR1A","P61163","Alpha-centractin","ACTZ_HUMAN"
"COPS2","P61201","COP9 signalosome complex subunit 2","CSN2_HUMAN"
"ARF3","P61204","ADP-ribosylation factor 3","ARF3_HUMAN"
"ABCE1","P61221","ATP-binding cassette sub-family E member 1","ABCE1_HUMAN"
"RAP1B","P61224","Ras-related protein Rap-1b","RAP1B_HUMAN"
"RAP2B","P61225","Ras-related protein Rap-2b","RAP2B_HUMAN"
"RPS3A","P61247","40S ribosomal protein S3a","RS3A_HUMAN"
"RPL26","P61254","60S ribosomal protein L26","RL26_HUMAN"
"PSME3","P61289","Proteasome activator complex subunit 3","PSME3_HUMAN"
"RPL15","P61313","60S ribosomal protein L15","RL15_HUMAN"
"MAGOH","P61326","Protein mago nashi homolog","MGN_HUMAN"
"RPL27","P61353","60S ribosomal protein L27","RL27_HUMAN"
"PCBD1","P61457","Pterin-4-alpha-carbinolamine dehydratase","PHS_HUMAN"
"NAA20","P61599","N-alpha-acetyltransferase 20","NAA20_HUMAN"
"HSPE1","P61604","10 kDa heat shock protein, mitochondrial","CH10_HUMAN"
"VBP1","P61758","Prefoldin subunit 3","PFD3_HUMAN"
"B2M","P61769","Beta-2-microglobulin","B2MG_HUMAN"
"RPL37","P61927","60S ribosomal protein L37","RL37_HUMAN"
"SUMO2","P61956","Small ubiquitin-related modifier 2","SUMO2_HUMAN"
"UFM1","P61960","Ubiquitin-fold modifier 1","UFM1_HUMAN"
"WDR5","P61964","WD repeat-containing protein 5","WDR5_HUMAN"
"LMO4","P61968","LIM domain transcription factor LMO4","LMO4_HUMAN"
"NUTF2","P61970","Nuclear transport factor 2","NTF2_HUMAN"
"HNRNPK","P61978","Heterogeneous nuclear ribonucleoprotein K","HNRPK_HUMAN"
"YWHAG","P61981","14-3-3 protein gamma","1433G_HUMAN"
"RRAS2","P62070","Ras-related protein R-Ras2","RRAS2_HUMAN"
"TIMM10","P62072","Mitochondrial import inner membrane translocase subunit Tim10","TIM10_HUMAN"
"RPS7","P62081","40S ribosomal protein S7","RS7_HUMAN"
"PPP1CA","P62136","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit","PP1A_HUMAN"
"PPP1CB","P62140","Serine/threonine-protein phosphatase PP1-beta catalytic subunit","PP1B_HUMAN"
"NCS1","P62166","Neuronal calcium sensor 1","NCS1_HUMAN"
"PSMC1","P62191","26S proteasome regulatory subunit 4","PRS4_HUMAN"
"PSMC5","P62195","26S proteasome regulatory subunit 8","PRS8_HUMAN"
"RPS8","P62241","40S ribosomal protein S8","RS8_HUMAN"
"RPS15A","P62244","40S ribosomal protein S15a","RS15A_HUMAN"
"RPS16","P62249","40S ribosomal protein S16","RS16_HUMAN"
"UBE2G1","P62253","Ubiquitin-conjugating enzyme E2 G1","UB2G1_HUMAN"
"UBE2H","P62256","Ubiquitin-conjugating enzyme E2 H","UBE2H_HUMAN"
"YWHAE","P62258","14-3-3 protein epsilon","1433E_HUMAN"
"RPS23","P62266","40S ribosomal protein S23","RS23_HUMAN"
"RPS18","P62269","40S ribosomal protein S18","RS18_HUMAN"
"RPS13","P62277","40S ribosomal protein S13","RS13_HUMAN"
"RPS11","P62280","40S ribosomal protein S11","RS11_HUMAN"
"SNRPE","P62304","Small nuclear ribonucleoprotein E","RUXE_HUMAN"
"SNRPF","P62306","Small nuclear ribonucleoprotein F","RUXF_HUMAN"
"LSM3","P62310","U6 snRNA-associated Sm-like protein LSm3","LSM3_HUMAN"
"LSM6","P62312","U6 snRNA-associated Sm-like protein LSm6","LSM6_HUMAN"
"SNRPD1","P62314","Small nuclear ribonucleoprotein Sm D1","SMD1_HUMAN"
"SNRPD2","P62316","Small nuclear ribonucleoprotein Sm D2","SMD2_HUMAN"
"SNRPD3","P62318","Small nuclear ribonucleoprotein Sm D3","SMD3_HUMAN"
"TMSB4X","P62328","Thymosin beta-4","TYB4_HUMAN"
"ARF6","P62330","ADP-ribosylation factor 6","ARF6_HUMAN"
"SELENOT","P62341","Thioredoxin reductase-like selenoprotein T","SELT_HUMAN"
"TBPL1","P62380","TATA box-binding protein-like 1","TBPL1_HUMAN"
"RPL7A","P62424","60S ribosomal protein L7a","RL7A_HUMAN"
"POLR2G","P62487","DNA-directed RNA polymerase II subunit RPB7","RPB7_HUMAN"
"ETF1","P62495","Eukaryotic peptide chain release factor subunit 1","ERF1_HUMAN"
"CNBP","P62633","CCHC-type zinc finger nucleic acid binding protein","CNBP_HUMAN"
"YPEL5","P62699","Protein yippee-like 5","YPEL5_HUMAN"
"RPS4X","P62701","40S ribosomal protein S4, X isoform","RS4X_HUMAN"
"PPP2CB","P62714","Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform","PP2AB_HUMAN"
"ACTA2","P62736","Actin, aortic smooth muscle","ACTA_HUMAN"
"RHOB","P62745","Rho-related GTP-binding protein RhoB","RHOB_HUMAN"
"RPS6","P62753","40S ribosomal protein S6","RS6_HUMAN"
"H4C16","P62805","Histone H4","H4_HUMAN"
"RAB1A","P62820","Ras-related protein Rab-1A","RAB1A_HUMAN"
"RPL23","P62829","60S ribosomal protein L23","RL23_HUMAN"
"RAP1A","P62834","Ras-related protein Rap-1A","RAP1A_HUMAN"
"UBE2D2","P62837","Ubiquitin-conjugating enzyme E2 D2","UB2D2_HUMAN"
"RPS25","P62851","40S ribosomal protein S25","RS25_HUMAN"
"RPS26","P62854","40S ribosomal protein S26","RS26_HUMAN"
"RPS28","P62857","40S ribosomal protein S28","RS28_HUMAN"
"GNB1","P62873","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1","GBB1_HUMAN"
"POLR2L","P62875","DNA-directed RNA polymerases I, II, and III subunit RPABC5","RPAB5_HUMAN"
"RBX1","P62877","E3 ubiquitin-protein ligase RBX1","RBX1_HUMAN"
"GNB2","P62879","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2","GBB2_HUMAN"
"RPL30","P62888","60S ribosomal protein L30","RL30_HUMAN"
"RPL39;RPL39P5","P62891;Q59GN2","60S ribosomal protein L39;Putative 60S ribosomal protein L39-like 5","RL39_HUMAN;R39L5_HUMAN"
"RPL31","P62899","60S ribosomal protein L31","RL31_HUMAN"
"RPL10A","P62906","60S ribosomal protein L10a","RL10A_HUMAN"
"RPL11","P62913;Q5VVC8","60S ribosomal protein L11","RL11_HUMAN;Q5VVC8_HUMAN"
"RPL8","P62917","60S ribosomal protein L8","RL8_HUMAN"
"PPIA","P62937","Peptidyl-prolyl cis-trans isomerase A","PPIA_HUMAN"
"FKBP1A","P62942","Peptidyl-prolyl cis-trans isomerase FKBP1A","FKB1A_HUMAN"
"RPS27A","P62979","Ubiquitin-40S ribosomal protein S27a","RS27A_HUMAN"
"UBA52","P62987","Ubiquitin-60S ribosomal protein L40","RL40_HUMAN"
"GRB2","P62993","Growth factor receptor-bound protein 2","GRB2_HUMAN"
"TRA2B","P62995","Transformer-2 protein homolog beta","TRA2B_HUMAN"
"RAC1","P63000","Ras-related C3 botulinum toxin substrate 1","RAC1_HUMAN"
"AP2B1","P63010","AP-2 complex subunit beta","AP2B1_HUMAN"
"GNAI1","P63096","Guanine nucleotide-binding protein G(i) subunit alpha-1","GNAI1_HUMAN"
"YWHAZ","P63104","14-3-3 protein zeta/delta","1433Z_HUMAN"
"PPP2R2A","P63151","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform","2ABA_HUMAN"
"DYNLL1","P63167","Dynein light chain 1, cytoplasmic","DYL1_HUMAN"
"DYNLT1","P63172","Dynein light chain Tctex-type 1","DYLT1_HUMAN"
"RPL38","P63173","60S ribosomal protein L38","RL38_HUMAN"
"GNG5","P63218","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5","GBG5_HUMAN"
"RPS21","P63220;Q8WVC2","40S ribosomal protein S21","RS21_HUMAN;Q8WVC2_HUMAN"
"EIF5A","P63241","Eukaryotic translation initiation factor 5A-1","IF5A1_HUMAN"
"RACK1","P63244","Receptor of activated protein C kinase 1","RACK1_HUMAN"
"SUPT4H1","P63272","Transcription elongation factor SPT4","SPT4H_HUMAN"
"TMSB10","P63313","Thymosin beta-10","TYB10_HUMAN"
"YBX1","P67809","Y-box-binding protein 1","YBOX1_HUMAN"
"CSNK2B","P67870;Q5SRQ6","Casein kinase II subunit beta","CSK2B_HUMAN;Q5SRQ6_HUMAN"
"TPM4","P67936","Tropomyosin alpha-4 chain","TPM4_HUMAN"
"UBE2L3","P68036","Ubiquitin-conjugating enzyme E2 L3","UB2L3_HUMAN"
"ACTA1","P68133","Actin, alpha skeletal muscle","ACTS_HUMAN"
"TUBA1B","P68363","Tubulin alpha-1B chain","TBA1B_HUMAN"
"TUBA4A","P68366","Tubulin alpha-4A chain","TBA4A_HUMAN"
"TUBB4B","P68371","Tubulin beta-4B chain","TBB4B_HUMAN"
"PAFAH1B2","P68402","Platelet-activating factor acetylhydrolase IB subunit alpha2","PA1B2_HUMAN"
"H3C12","P68431","Histone H3.1","H31_HUMAN"
"UBXN2A","P68543","UBX domain-containing protein 2A","UBX2A_HUMAN"
"CXADR","P78310","Coxsackievirus and adenovirus receptor","CXAR_HUMAN"
"SH3BP2","P78314","SH3 domain-binding protein 2","3BP2_HUMAN"
"NOP14","P78316","Nucleolar protein 14","NOP14_HUMAN"
"IGBP1","P78318","Immunoglobulin-binding protein 1","IGBP1_HUMAN"
"PSPH","P78330","Phosphoserine phosphatase","SERB_HUMAN"
"RBM6","P78332","RNA-binding protein 6","RBM6_HUMAN"
"EIF4G2","P78344","Eukaryotic translation initiation factor 4 gamma 2","IF4G2_HUMAN"
"RPP38","P78345","Ribonuclease P protein subunit p38","RPP38_HUMAN"
"RPP30","P78346","Ribonuclease P protein subunit p30","RPP30_HUMAN"
"GTF2I","P78347","General transcription factor II-I","GTF2I_HUMAN"
"PIP4K2B","P78356","Phosphatidylinositol 5-phosphate 4-kinase type-2 beta","PI42B_HUMAN"
"CNTNAP1","P78357","Contactin-associated protein 1","CNTP1_HUMAN"
"SRPK2","P78362","SRSF protein kinase 2","SRPK2_HUMAN"
"CSNK1G2","P78368","Casein kinase I isoform gamma-2","KC1G2_HUMAN"
"CCT2","P78371","T-complex protein 1 subunit beta","TCPB_HUMAN"
"SLC35A2","P78381","UDP-galactose translocator","S35A2_HUMAN"
"SLC35A1","P78382","CMP-sialic acid transporter","S35A1_HUMAN"
"RAE1","P78406","mRNA export factor RAE1","RAE1L_HUMAN"
"BTN3A2","P78410","Butyrophilin subfamily 3 member A2","BT3A2_HUMAN"
"GSTO1","P78417","Glutathione S-transferase omega-1","GSTO1_HUMAN"
"DENND2B","P78524","DENN domain-containing protein 2B","DEN2B_HUMAN"
"PRKDC","P78527","DNA-dependent protein kinase catalytic subunit","PRKDC_HUMAN"
"ADAM17","P78536","Disintegrin and metalloproteinase domain-containing protein 17","ADA17_HUMAN"
"BLOC1S1","P78537","Biogenesis of lysosome-related organelles complex 1 subunit 1","BL1S1_HUMAN"
"ARG2","P78540","Arginase-2, mitochondrial","ARGI2_HUMAN"
"NTHL1","P78549","Endonuclease III-like protein 1","NTH_HUMAN"
"CRADD","P78560","Death domain-containing protein CRADD","CRADD_HUMAN"
"ADARB1","P78563","Double-stranded RNA-specific editase 1","RED1_HUMAN"
"PRR3","P79522","Proline-rich protein 3","PRR3_HUMAN"
"IFI35","P80217","Interferon-induced 35 kDa protein","IN35_HUMAN"
"MT1X","P80297","Metallothionein-1X","MT1X_HUMAN"
"NUCB2","P80303","Nucleobindin-2","NUCB2_HUMAN"
"BASP1","P80723","Brain acid soluble protein 1","BASP1_HUMAN"
"DCD","P81605","Dermcidin","DCD_HUMAN"
"TMF1","P82094","TATA element modulatory factor","TMF1_HUMAN"
"MRPS25","P82663","28S ribosomal protein S25, mitochondrial","RT25_HUMAN"
"MRPS10","P82664","28S ribosomal protein S10, mitochondrial","RT10_HUMAN"
"MRPS35","P82673","28S ribosomal protein S35, mitochondrial","RT35_HUMAN"
"MRPS36","P82909","Alpha-ketoglutarate dehydrogenase component 4","KGD4_HUMAN"
"MRPS11","P82912","28S ribosomal protein S11, mitochondrial","RT11_HUMAN"
"MRPS15","P82914","28S ribosomal protein S15, mitochondrial","RT15_HUMAN"
"MRPS21","P82921","28S ribosomal protein S21, mitochondrial","RT21_HUMAN"
"MRPS6","P82932","28S ribosomal protein S6, mitochondrial","RT06_HUMAN"
"MRPS9","P82933","28S ribosomal protein S9, mitochondrial","RT09_HUMAN"
"HMGN5","P82970","High mobility group nucleosome-binding domain-containing protein 5","HMGN5_HUMAN"
"SARNP","P82979","SAP domain-containing ribonucleoprotein","SARNP_HUMAN"
"LACTB","P83111","Serine beta-lactamase-like protein LACTB, mitochondrial","LACTB_HUMAN"
"LSM11","P83369","U7 snRNA-associated Sm-like protein LSm11","LSM11_HUMAN"
"COG7","P83436","Conserved oligomeric Golgi complex subunit 7","COG7_HUMAN"
"TXNL4A","P83876","Thioredoxin-like protein 4A","TXN4A_HUMAN"
"CBX1","P83916","Chromobox protein homolog 1","CBX1_HUMAN"
"SMAD3","P84022","Mothers against decapentaplegic homolog 3","SMAD3_HUMAN"
"ARF5","P84085","ADP-ribosylation factor 5","ARF5_HUMAN"
"ERH","P84090","Enhancer of rudimentary homolog","ERH_HUMAN"
"RHOG","P84095","Rho-related GTP-binding protein RhoG","RHOG_HUMAN"
"SERF2","P84101","Small EDRK-rich factor 2","SERF2_HUMAN"
"SRSF3","P84103","Serine/arginine-rich splicing factor 3","SRSF3_HUMAN"
"MXRA7","P84157","Matrix-remodeling-associated protein 7","MXRA7_HUMAN"
"FOXK1","P85037","Forkhead box protein K1","FOXK1_HUMAN"
"CCZ1B;CCZ1","P86790;P86791","Vacuolar fusion protein CCZ1 homolog B;Vacuolar fusion protein CCZ1 homolog","CCZ1B_HUMAN;CCZ1_HUMAN"
"DAB2","P98082","Disabled homolog 2","DAB2_HUMAN"
"HSPG2","P98160","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
"ZXDB","P98169","Zinc finger X-linked protein ZXDB","ZXDB_HUMAN"
"XIAP","P98170","E3 ubiquitin-protein ligase XIAP","XIAP_HUMAN"
"EFNB1","P98172","Ephrin-B1","EFNB1_HUMAN"
"FGD1","P98174","FYVE, RhoGEF and PH domain-containing protein 1","FGD1_HUMAN"
"RBM10","P98175","RNA-binding protein 10","RBM10_HUMAN"
"RBM3","P98179","RNA-binding protein 3","RBM3_HUMAN"
"TFAM","Q00059","Transcription factor A, mitochondrial","TFAM_HUMAN"
"PITPNA","Q00169","Phosphatidylinositol transfer protein alpha isoform","PIPNA_HUMAN"
"MAT1A","Q00266","S-adenosylmethionine synthase isoform type-1","METK1_HUMAN"
"SLC25A3","Q00325","Phosphate carrier protein, mitochondrial","MPCP_HUMAN"
"GTF2B","Q00403","Transcription initiation factor IIB","TF2B_HUMAN"
"CDK3","Q00526","Cyclin-dependent kinase 3","CDK3_HUMAN"
"CDK6","Q00534","Cyclin-dependent kinase 6","CDK6_HUMAN"
"CDK5","Q00535","Cyclin-dependent kinase 5","CDK5_HUMAN"
"CDK16","Q00536","Cyclin-dependent kinase 16","CDK16_HUMAN"
"PURA","Q00577","Transcriptional activator protein Pur-alpha","PURA_HUMAN"
"CDC42EP1","Q00587","Cdc42 effector protein 1","BORG5_HUMAN"
"HSF1","Q00613","Heat shock factor protein 1","HSF1_HUMAN"
"NFKB2","Q00653","Nuclear factor NF-kappa-B p100 subunit","NFKB2_HUMAN"
"FKBP3","Q00688","Peptidyl-prolyl cis-trans isomerase FKBP3","FKBP3_HUMAN"
"PLCB2","Q00722;Q9BVT6","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2","PLCB2_HUMAN;Q9BVT6_HUMAN"
"REEP5","Q00765","Receptor expression-enhancing protein 5","REEP5_HUMAN"
"SORD","Q00796","Sorbitol dehydrogenase","DHSO_HUMAN"
"HNRNPU","Q00839","Heterogeneous nuclear ribonucleoprotein U","HNRPU_HUMAN"
"U2AF1","Q01081","Splicing factor U2AF 35 kDa subunit","U2AF1_HUMAN"
"SPTBN1","Q01082","Spectrin beta chain, non-erythrocytic 1","SPTB2_HUMAN"
"TIAL1","Q01085","Nucleolysin TIAR","TIAR_HUMAN"
"SET","Q01105","Protein SET","SET_HUMAN"
"FOXK2","Q01167","Forkhead box protein K2","FOXK2_HUMAN"
"RUNX1","Q01196","Runt-related transcription factor 1","RUNX1_HUMAN"
"RELB","Q01201","Transcription factor RelB","RELB_HUMAN"
"FABP5","Q01469","Fatty acid-binding protein 5","FABP5_HUMAN"
"CAP1","Q01518","Adenylyl cyclase-associated protein 1","CAP1_HUMAN"
"HMGCS1","Q01581","Hydroxymethylglutaryl-CoA synthase, cytoplasmic","HMCS1_HUMAN"
"IFITM3","Q01628","Interferon-induced transmembrane protein 3","IFM3_HUMAN"
"SLC7A5","Q01650","Large neutral amino acids transporter small subunit 1","LAT1_HUMAN"
"DR1","Q01658","Protein Dr1","NC2B_HUMAN"
"TFAP4","Q01664","Transcription factor AP-4","TFAP4_HUMAN"
"EXOSC10","Q01780","Exosome component 10","EXOSX_HUMAN"
"OTUD4","Q01804","OTU domain-containing protein 4","OTUD4_HUMAN"
"PFKP","Q01813","ATP-dependent 6-phosphofructokinase, platelet type","PFKAP_HUMAN"
"ATP2B2","Q01814","Plasma membrane calcium-transporting ATPase 2","AT2B2_HUMAN"
"XPC","Q01831","DNA repair protein complementing XP-C cells","XPC_HUMAN"
"OCRL","Q01968","Inositol polyphosphate 5-phosphatase OCRL","OCRL_HUMAN"
"PLCB3","Q01970","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3","PLCB3_HUMAN"
"TAGLN","Q01995","Transgelin","TAGL_HUMAN"
"AKAP17A","Q02040","A-kinase anchor protein 17A","AK17A_HUMAN"
"NAAA","Q02083","N-acylethanolamine-hydrolyzing acid amidase","NAAA_HUMAN"
